lulcCode,lulcComposition_forest,lulcComposition_shrub,lulcComposition_crop,lulcComposition_lawn,lulcComposition_imp,impBreakdownFrac_roof,impBreakdownFrac_driveway,impBreakdownFrac_pavedRoad,waterFrac,noData
11,0,0,0,0,0,0,0,0,1,0
12,0,0,0,0,1,0,0,0,0,0
21,0.45,0.45,0,0,0.1,0,0.1,0,0,0
22,0.325,0.325,0,0,0.35,0.175,0.105,0.07,0,0
23,0.175,0.175,0,0,0.65,0.39,0.156,0.104,0,0
24,0,0.1,0,0,0.9,0.63,0.162,0.108,0,0
31,0,0,0,0,0,0,0,0,0,0
41,1,0,0,0,0,0,0,0,0,0
42,1,0,0,0,0,0,0,0,0,0
43,1,0,0,0,0,0,0,0,0,0
51,0,1,0,0,0,0,0,0,0,0
52,0,1,0,0,0,0,0,0,0,0
71,0,0,0,1,0,0,0,0,0,0
72,0,0,0,1,0,0,0,0,0,0
73,0,0,0,1,0,0,0,0,0,0
74,0,0,0,1,0,0,0,0,0,0
81,0,0,1,0,0,0,0,0,0,0
82,0,0,1,0,0,0,0,0,0,0
90,0.5,0.5,0,0,0,0,0,0,0,0
95,0,0,0,1,0,0,0,0,0,0