,,cove hardwood,,0.3maple+0.7oak,,,,,plz,plz,plz,plz
,,"shelter, coweeta",coweeta,,coweeta,,,coweeta,plz,plz,plz,plz
,,mostly from tony,white shrub,,tony,Tony,,Taehee,workflows,workflows,workflwos,workflows
,,Tsuga canadensis,Rhododendron maximum,,Liriodendron tulipifera,Quercus prinus,Acer rubrum,Pinus strobus,,,,
order,name,eastern hemlock bgc,rhododendron bgc,maple mix bgc,Tulip poplar bgc,chestnut oak bgc,red maple bgc,eastern white pine,evergreen,deciduous,grass,nonveg
1,stratum_default_ID,801,802,803,804,805,806,807,1,2,3,4
2,K_absorptance,0.8,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.65,0.8
3,K_reflectance,0.1,0.31,0.307,0.31,0.31,0.3,0.1,0.1,0.15,0.25,0.1
4,K_transmittance,0.1,0.22,0.214,0.22,0.22,0.2,0.1,0.1,0.05,0.1,0.1
5,PAR_absorptance,1,1,0.8,0.8,0.8,0.8,1,1,0.8,0.4,1
6,PAR_reflectance,0,0,0,0,0,0,0,0,0,0,0
7,PAR_transmittance,0,0,0.2,0.2,0.2,0.2,0,0,0.2,0.6,0
8,epc.alloc_crootc_stemc,0.29,0.29,0.22,0.563,0.22,0.22,0.29,0.3,0.22,0,0
9,epc.alloc_frootc_leafc,1.4,1.4,1.207,1.2,1.21,1.2,0.994,1.325,1.2,5,0
10,epc.alloc_livewoodc_woodc,0.071,1,0.16,0.142,0.16,0.16,0.076,0.073,0.16,0.6,0
11,epc.alloc_prop_day_growth,0.5,0.5,0.24,0.2,0.3,0.1,0.5,0.5,0.1,0,0
12,epc.alloc_stemc_leafc,2.2,0.22,2.1113331,2.226,2.073333,2.2,2.73,1.62,2.2,0,0.73
13,epc.allocation_flag,waring,waring,dickenson,dickenson,dickenson,dickenson,waring,waring,dickenson,dynamic,dynamic
14,epc.daily_fire_turnover,0,0,0,0,0,0,0,0,0,0,0
15,epc.day_leafoff,295,295,295,295,295,295,295,260,275,245,366
16,epc.day_leafon,60,60,100,100,100,100,60,91,125,90,0
17,epc.deadwood_fcel,0.68,0.71,0.7805,0.805,0.77,0.805,0.725,0.52,0.77,0.5,0.71
18,epc.deadwood_flig,0.32,0.29,0.2195,0.195,0.23,0.195,0.275,0.48,0.23,0.5,0.29
19,epc.ext_coef,0.5,0.55,0.512,0.54,0.5,0.54,0.51,0.5,0.54,0.5,0.51
20,epc.flnr,0.04,0.08,0.08,0.072,0.08,0.07,0.033,0.1,0.1,0.1,0.07
21,epc.froot_cn,58,58,58.85,48,63.5,48,53.6,139.7,48,47.8,50
22,epc.froot_turnover,0.332,0.32,0.503,0.51,0.5,0.51,0.332,0.27,1,0.4,0.16
23,epc.frootlitr_fcel,0.406,0.44,0.44,0.44,0.44,0.44,0.495,0.41,0.44,0.41,0.38
24,epc.frootlitr_flab,0.233,0.34,0.34,0.34,0.34,0.34,0.252,0.23,0.34,0.08,0.42
25,epc.frootlitr_flig,0.361,0.22,0.22,0.22,0.22,0.22,0.253,0.36,0.22,0.51,0.2
26,epc.gl_c,3.45E-05,3.07E-05,3.56E-05,6.00E-05,0.00233463,5.67E-05,2.40E-05,0.00006,0.00006,0.083,0
27,epc.gl_smax,0.003447819,0.003072857,0.003557326,0.005995126,0.00265299,0.005667443,0.0024,0.006,0.006,0.083,0
28,epc.gr_perc,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.2,0.2
29,epc.height_to_stem_coef,11.39,3.796666667,11.2,11.2,11.2,11.2,11.39,11.39,11.39,11.39,11.2
30,epc.height_to_stem_exp,0.57,0.57,0.6,0.6,0.6,0.6,0.57,0.57,0.57,0.57,0.6
31,epc.kfrag_base,0.01,0.01,0.00002,0.00002,0.00002,0.00002,0.01,0.01,0.01,0.01,0.00002
32,epc.lai_ratio,2.6,2,2,2,2,2,2.54,2.6,2,2,2.2
33,epc.leaf_cn,50.50505051,48.81760396,19.49582,22.251,19.9226,18.5,26.1,45,25,27.7,49
34,epc.leaf_turnover,0.332,0.32,1,1,1,1,0.332,0.27,1,0,0.25
35,epc.leaflitr_cn,64.9333,75,50.8245,45.5,41.31,73.025,93,70,55,50,96
36,epc.leaflitr_fcel,0.396,0.29,0.422,0.38,0.44,0.38,0.447,0.45,0.44,0.47,0.41
37,epc.leaflitr_flab,0.398,0.56,0.4001,0.447,0.38,0.447,0.328,0.31,0.38,0.23,0.39
38,epc.leaflitr_flig,0.206,0.15,0.1779,0.173,0.18,0.173,0.225,0.24,0.18,0.3,0.2
39,epc.livewood_cn,250,730,67.92,50,75.6,50,50,200,48,250,50
40,epc.livewood_turnover (0.7),0.7,0.7,0.7,0.7,0.7,0.7,0.769,0.7,0.7,0.2,0.007
41,epc.max_lai,8,6,6,6,6,6,20,12,20,2,0
42,epc.maxlgf,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.15,0.05,0.05
43,epc.ndays_expand,20,20,20,20,20,20,20,30,30,30,20
44,epc.ndays_litfall,50,50,20,20,20,20,50,30,30,30,20
45,epc.phenology.type,EVERGREEN,EVERGREEN,DECID,DECID,DECID,DECID,EVERGREEN,EVERGREEN,DECID,EVERGREEN,EVERGREEN
46,epc.phenology_flag,static,static,static,static,static,static,static,static,static,static,static
47,epc.ppfd_coef,0.0229,0.04,0.02139,0.0248,0.0234,0.0167,0.03,0.03,0.03,0.03,0.03
48,epc.proj_sla,16.32,17.21428571,27.26718251,32.571875,24.30784314,34.17230769,18.8,9,32,17,0
49,epc.proj_swa,0.83,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,0,1.4
50,epc.psi_close,-2.5,-4.2,-2.2,-2.56,-2.2,-2.2,-2.3,-2.5,-2.2,-2.3,-2.5
51,epc.psi_open,-0.5,-0.81,-0.7488,-0.289,-0.924,-0.34,-0.63,-0.65,-0.34,-0.5,-0.65
52,epc.storage_transfer_prop,0.9,0.9,1,1,1,1,1,1,1,0.9,1
53,epc.tcoef,0.2,0.2,0.52775,0.7316,0.6725,0.19,0.2,0.2,0.2,0.2,0.2
54,epc.tmax,40,42.5,42.5,42.5,42.5,42.5,40,40,40,35,40
55,epc.topt,15,22.7,21.11,22.7,21.8,19.5,15,15,15,17.5,15
56,epc.veg.type,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,TREE,GRASS,NON_VEG
57,epc.vpd_close (x1000),3100,4100,14408.9,3491,19127,3400,3100,3500,3600,3000,3100
58,epc.vpd_open (x1000),610,970,790.6,820.6,658,1200,600,0,0,0,610
59,gsurf_intercept,1000000,1000000,100000000,100000000,100000000,100000000,1000000,1000000,1000000,1000000,1000000
60,gsurf_slope,0,0,0,0,0,0,0,0,0,0,0
61,lai_stomatal_fraction,1,1,1,1,1.45,0.4,1,1,1,1,0
62,max_heat_capacity,0,0,0,0,0,0,0,0,0,0,0
63,min_heat_capacity,0,0,0,0,0,0,0,0,0,0,0
64,mortality,0.005,0.02,0.005,0.005,0.005,0.005,0.002,0.005,0.005,0,0.002
65,mrc.per_N,1.2,1.2,2.0636084,1.739253,2.425319,1.219617,1.21,0.21,0.2,0.2,0.21
66,mrc.q10,2.54,2.54,2.36,2.24,2.33,2.43,2,1.5,2,1.5,2
67,specific_rain_capacity,0.00024,0.0005,0.0005,0.0005,0.0005,0.0005,0.00024,0.00024,0.0005,0.001,0.001
68,specific_snow_capacity,0.00024,0.001,0.001,0.001,0.001,0.001,0.00024,0.00024,0.001,0.0025,0.0025
69,ustar_overu,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
70,wind_attenuation_coef,0.4,0.4,0.4,0.4,0.4,0.4,0.002,0.4,0.4,0.4,0.4
71,epc.branch_turnover,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1